,Unnamed: 0,Name,Team,G,GS,IP,SO,BB,K/9,BB/9,HR/9,K/BB,AVG,WHIP,RS/9,ERA,FIP,xFIP,SIERA,WAR,bWAR,aWAR,WPA
75,75,Cole Irvin,OAK,0.43348685,0.89938045,0.7641972,0.6159216,0.62898326,0.25868222,0.09616324,0.14907077,0.24367057,0.31727847,0.14612217,0.23206471,0.11796265,0.117739074,0.3704591,0.39970535,0.52641547,0.44940957,0.3661319,0.25499582
76,76,Alek Manoah,TOR,0.46932065,0.5259908,0.4995857,0.53589267,0.36076254,0.45498073,0.13763872,0.117842056,0.23129177,0.20456477,0.13123587,0.23206471,0.108096264,0.10943762,0.3704591,0.28809285,0.44633344,0.5106883,0.3814727,0.5083507
77,77,Cal Quantrill,CLE,0.5153658,0.7042374,0.6751743,0.6036839,0.4834456,0.3190212,0.11440026,0.117295824,0.21977422,0.24564034,0.13311261,0.23206471,0.103844635,0.10948379,0.3704591,0.335916,0.50225806,0.5388459,0.45765093,0.49564695
78,78,Raisel Iglesias,LAA,0.78401464,0.026643114,0.32358804,0.46176717,0.1410628,0.58359754,0.09525115,0.11622603,0.4214068,0.18275687,0.109484985,0.23206471,0.09108753,0.07822162,0.3704591,0.14753206,0.40558505,0.48864982,0.35564616,0.54935336
79,79,Edwin Diaz,NYM,0.7840146,0.022445804,0.28856105,0.4193345,0.22551635,0.5491153,0.14825594,0.09084562,0.29113394,0.19947837,0.13041814,0.23206471,0.100002885,0.08478031,0.3704591,0.19585893,0.3372003,0.42960948,0.26383004,0.43912858
80,80,Brady Singer,KCR,0.43643817,0.7508055,0.6371375,0.6009936,0.5548362,0.3952848,0.1486858,0.12518515,0.18888314,0.30843797,0.16669044,0.23206471,0.1318141,0.11356327,0.3704591,0.33971617,0.42920616,0.41671702,0.27879876,0.25843567
81,81,Framber Valdez,HOU,0.56294477,0.6840549,0.61532366,0.5994862,0.5232331,0.36700487,0.14995335,0.10772505,0.16820957,0.24353977,0.14474766,0.23206471,0.11254313,0.10699615,0.3704591,0.28833124,0.47705904,0.55721605,0.44927114,0.44975802
82,82,Jameson Taillon,NYY,0.40880552,0.7886185,0.68894964,0.6158666,0.51542956,0.3767867,0.11474839,0.16020042,0.23624617,0.25414035,0.13751149,0.23206471,0.113860786,0.11678976,0.3704591,0.34475902,0.4418089,0.47059414,0.3583813,0.37987056
83,83,Matt Harvey,BAL,0.40745735,0.8209956,0.6841704,0.5744667,0.5423618,0.28111565,0.118355766,0.15728602,0.20977174,0.34835276,0.17155431,0.23206471,0.14137894,0.12641786,0.3704591,0.4104391,0.3556979,0.34441847,0.22906984,0.17282246
84,84,Ian Anderson,ATL,0.454631,0.65904784,0.6078699,0.57474065,0.5001291,0.38010684,0.14549054,0.12868673,0.18917193,0.2355931,0.14405973,0.23206471,0.10991485,0.11293425,0.3704591,0.3396402,0.42360413,0.5014088,0.38695347,0.4542672
85,85,Trevor Bauer,LAD,0.46686718,0.4970246,0.49276677,0.5220822,0.3295489,0.49199143,0.12294304,0.14825957,0.2420948,0.19284931,0.12509106,0.23206471,0.10212246,0.1075575,0.3704591,0.26264828,0.3906569,0.5120317,0.3698153,0.48493493
86,86,Jose Urquidy,HOU,0.3906697,0.50764495,0.4905364,0.46700388,0.27544546,0.33713287,0.099098966,0.1443575,0.28518236,0.23376688,0.1270042,0.23206471,0.109078154,0.11255832,0.3704591,0.31208062,0.37593478,0.4650051,0.31388295,0.43788725
87,87,Chris Paddack,SDP,0.41867125,0.59607875,0.534657,0.4896388,0.37779346,0.34582463,0.1119297,0.14918272,0.27080148,0.30988318,0.15398644,0.23206471,0.13198382,0.11677488,0.3704591,0.32185826,0.34849203,0.3726746,0.24048018,0.28207037
88,88,Collin McHugh,TBR,0.67928356,0.04768045,0.25670737,0.33645508,0.11651985,0.46371254,0.10623975,0.08898139,0.3065629,0.20342128,0.12147821,0.23206471,0.09613012,0.08523004,0.3704591,0.20479408,0.3970395,0.47831538,0.32429054,0.507644
89,89,Blake Treinen,LAD,0.78401446,0.026142929,0.32009888,0.38528654,0.20540865,0.43931407,0.12663378,0.08280862,0.2613454,0.18781205,0.12199083,0.23206471,0.093273096,0.08706345,0.3704591,0.20992859,0.34948626,0.46472552,0.30431226,0.48490348
90,90,Dane Dunning,TEX,0.38458663,0.63200825,0.5895721,0.5459189,0.49349147,0.3623771,0.12822273,0.12627077,0.21392763,0.29842445,0.1596746,0.23206471,0.124048434,0.10953497,0.3704591,0.3260881,0.39012057,0.41807392,0.2810845,0.2568976
91,91,Kenley Jansen,LAD,0.7840147,0.019423421,0.29712692,0.41744184,0.25074142,0.48147666,0.17200655,0.0865477,0.21791889,0.15977941,0.12104077,0.23206471,0.09256863,0.08626506,0.3704591,0.23942761,0.33800018,0.4852638,0.30330035,0.5732543
92,92,Eric Lauer,MIL,0.46972844,0.57934606,0.544454,0.5212862,0.3972334,0.3755957,0.12539825,0.13230684,0.21792027,0.2314732,0.13605152,0.23206471,0.10809715,0.11126766,0.3704591,0.33286756,0.39653683,0.48228714,0.33838025,0.43036816
93,93,Rich Hill,- - -,0.42561877,0.8225797,0.713022,0.6159192,0.5498664,0.38825074,0.121020965,0.15255293,0.22039989,0.25623775,0.13886318,0.23206471,0.112230256,0.117107846,0.3704591,0.34001246,0.46380392,0.48575032,0.36274818,0.33109486
94,94,Michael Kopech,CHW,0.71259946,0.08339507,0.29792678,0.39025587,0.20218475,0.5585623,0.1316855,0.12164581,0.28341195,0.21067789,0.13423598,0.23206471,0.106264226,0.095819525,0.3704591,0.20286001,0.30908105,0.41619632,0.2533077,0.43338397
95,95,Chad Green,NYY,0.78401446,0.04224327,0.39669326,0.46560413,0.22702566,0.46901074,0.10392331,0.14002432,0.31785274,0.20665382,0.119125515,0.23206471,0.09800273,0.0958476,0.3704591,0.20943949,0.31343526,0.4241175,0.2585519,0.44636738
96,96,Garrett Whitlock,BOS,0.7840141,0.06340115,0.31786758,0.3757896,0.16029239,0.4114305,0.1099139,0.09473346,0.2892179,0.22465853,0.12824087,0.23206471,0.100363046,0.08949271,0.3704591,0.2151717,0.3830419,0.47637573,0.3140044,0.50076044
97,97,Aaron Loup,NYM,0.7840107,0.02142325,0.2439381,0.3023569,0.12774016,0.40075085,0.116932355,0.07477123,0.27048612,0.20169581,0.1235936,0.23206471,0.09308828,0.087075084,0.3704591,0.21804193,0.33308977,0.47022328,0.29312545,0.51107544
98,98,Kenta Maeda,MIN,0.4317787,0.50829226,0.50772136,0.5035566,0.3828632,0.41433096,0.12721656,0.14198281,0.24653643,0.2752835,0.15259802,0.23206471,0.1249697,0.114533305,0.3704591,0.30338162,0.35536897,0.39111093,0.25326747,0.31405702
